product_id,product_name,category,subcategory,brand,supplier_id,cost_price,list_price,weight_kg,is_active,_rescued_data
32,BlueHarbor Relaxed Hat,clothing,Hats,BlueHarbor,1,163.01,446.63,7.12,True,
33,FitForm Athletic Jacket,clothing,Jackets,FitForm,7,140.35,206.11,13.46,True,
34,NorthTrail Slim Fit Jean,clothing,Jeans,NorthTrail,3,50.77,67.94,9.24,True,
35,CanvasWear Classic Jean,clothing,Jeans,CanvasWear,4,140.61,264.97,9.58,True,
36,StyleCraft Cozy Sweater,clothing,Sweaters,StyleCraft,1,153.64,369.53,10.28,True,
37,GreenLeaf Modern Sweater,clothing,Sweaters,GreenLeaf,19,175.3,389.54,18.63,True,
38,FitForm Casual Hat,clothing,Hats,FitForm,10,170.16,320.08,16.48,True,
39,SilkRoad Relaxed Shoe,clothing,Shoes,SilkRoad,8,112.68,292.82,7.31,False,
40,StyleCraft Athletic Sweater,clothing,Sweaters,StyleCraft,18,23.18,59.34,12.94,True,
41,PureStitch Classic Jean,clothing,Jeans,PureStitch,6,190.01,344.92,2.24,True,
42,StyleCraft Slim Fit Short,clothing,Shorts,StyleCraft,17,175.41,421.57,7.81,True,
43,SilkRoad Classic Short,clothing,Shorts,SilkRoad,13,116.64,197.68,1.29,False,
44,StyleCraft Athletic Shoe,clothing,Shoes,StyleCraft,7,133.81,281.8,13.21,True,
45,PureStitch Casual Jean,clothing,Jeans,PureStitch,5,153.77,292.39,7.94,True,
46,BlueHarbor Slim Fit Shoe,clothing,Shoes,BlueHarbor,8,121.93,319.82,11.43,True,
47,GreenLeaf Athletic Dresse,clothing,Dresses,GreenLeaf,15,55.36,128.95,15.37,False,
48,ThreadBound Comfort T-Shirt,clothing,T-Shirts,ThreadBound,20,53.15,73.97,5.8,True,
49,StyleCraft Vintage Sweater,clothing,Sweaters,StyleCraft,13,164.08,316.37,7.58,True,
50,NorthTrail Vintage T-Shirt,clothing,T-Shirts,NorthTrail,18,88.19,234.26,8.83,False,
51,BlueHarbor Slim Fit T-Shirt,clothing,T-Shirts,BlueHarbor,3,185.46,354.94,2.28,True,
52,CanvasWear Cozy T-Shirt,clothing,T-Shirts,CanvasWear,11,84.18,151.37,10.23,True,
53,SilkRoad Classic Dresse,clothing,Dresses,SilkRoad,17,80.76,138.87,1.63,True,
54,GreenLeaf Cozy Activewear,clothing,Activewear,GreenLeaf,17,63.56,140.5,19.39,True,
55,PureStitch Relaxed Hat,clothing,Hats,PureStitch,13,54.2,71.8,0.4,True,
56,UrbanThread Classic Jean,clothing,Jeans,UrbanThread,15,184.66,373.16,11.77,True,
57,NorthTrail Slim Fit Shoe,clothing,Shoes,NorthTrail,2,66.07,187.2,14.93,True,
58,CanvasWear Modern Shoe,clothing,Shoes,CanvasWear,14,26.58,74.24,11.11,True,
59,HomeNest Rustic Cookware,home,Cookware,HomeNest,3,125.14,188.51,2.41,True,
60,ElmHouse Smart Decor,home,Decor,ElmHouse,17,87.46,148.92,5.89,True,
61,HarborHouse Premium Storage,home,Storage,HarborHouse,19,197.06,564.8,9.41,True,
62,WillowHome Deluxe Bedding,home,Bedding,WillowHome,2,164.62,412.93,9.07,False,
63,HarborHouse Smart Storage,home,Storage,HarborHouse,13,118.8,224.83,10.17,True,
64,HarborHouse Natural Bedding,home,Bedding,HarborHouse,19,131.28,265.38,2.68,True,
65,StoneBridge Heritage Storage,home,Storage,StoneBridge,7,58.24,121.81,18.1,False,
66,ElmHouse Artisan Rug,home,Rugs,ElmHouse,5,78.34,140.48,16.57,True,
67,StoneBridge Artisan Towel,home,Towels,StoneBridge,8,93.38,127.6,17.56,False,
68,HarborHouse Modern Storage,home,Storage,HarborHouse,15,159.25,447.52,12.09,True,
69,StoneBridge Deluxe Cookware,home,Cookware,StoneBridge,11,76.23,168.21,2.62,True,
70,HarborHouse Heritage Towel,home,Towels,HarborHouse,13,28.1,69.99,9.78,True,
71,CedarGrove Smart Appliance,home,Appliances,CedarGrove,13,41.66,115.75,18.78,True,
72,HarborHouse Artisan Lighting,home,Lighting,HarborHouse,11,140.32,281.5,2.63,True,
73,WillowHome Deluxe Decor,home,Decor,WillowHome,5,170.16,274.88,17.96,True,
74,CraftHaven Artisan Towel,home,Towels,CraftHaven,12,197.19,377.73,18.71,False,
75,PureComfort Smart Decor,home,Decor,PureComfort,6,167.58,396.7,8.3,True,
76,HomeNest Deluxe Cleaning,home,Cleaning,HomeNest,2,14.34,19.28,23.96,True,
77,ElmHouse Premium Bedding,home,Bedding,ElmHouse,9,19.39,25.73,14.68,True,
78,HarborHouse Artisan Storage,home,Storage,HarborHouse,18,20.97,60.93,21.4,True,
79,PureComfort Modern Rug,home,Rugs,PureComfort,20,108.52,189.4,24.29,True,
80,CedarGrove Premium Cookware,home,Cookware,CedarGrove,9,98.22,152.63,23.31,True,
81,CedarGrove Essential Storage,home,Storage,CedarGrove,8,101.29,283.63,24.48,False,
82,ElmHouse Compact Cleaning,home,Cleaning,ElmHouse,17,146.3,194.05,3.55,False,
83,PureComfort Heritage Rug,home,Rugs,PureComfort,13,9.09,14.4,2.13,True,
84,CraftHaven Natural Storage,home,Storage,CraftHaven,1,79.96,187.79,15.72,True,
85,BrightSpace Premium Furniture,home,Furniture,BrightSpace,14,56.05,79.0,15.73,True,
86,BrightSpace Compact Rug,home,Rugs,BrightSpace,14,183.05,420.48,1.75,True,
87,HomeNest Modern Storage,home,Storage,HomeNest,8,33.73,87.93,16.69,True,
88,AquaPro Flex Dumbbell,sports,Dumbbells,AquaPro,13,158.74,342.97,22.15,True,
89,TrailBlaze Flex Soccer,sports,Soccer,TrailBlaze,20,79.2,180.93,11.58,True,
90,AquaPro Flex Camping,sports,Camping,AquaPro,9,187.58,330.79,22.68,True,
91,RapidStride Core Swim Gear,sports,Swim Gear,RapidStride,14,59.29,173.75,20.06,True,
92,AlpineEdge Core Hiking,sports,Hiking,AlpineEdge,8,27.03,79.73,2.99,True,
93,SummitGear Grip Bike,sports,Bikes,SummitGear,16,55.21,126.38,13.04,True,
94,TrailBlaze Speed Soccer,sports,Soccer,TrailBlaze,2,66.87,122.1,16.9,True,
95,IronPeak Impact Basketball,sports,Basketball,IronPeak,19,108.48,311.59,1.4,False,
96,IronPeak Performance Yoga Mat,sports,Yoga Mats,IronPeak,6,144.08,242.0,9.82,True,
97,AlpineEdge Flex Yoga Mat,sports,Yoga Mats,AlpineEdge,5,177.83,522.81,9.94,True,
98,AquaPro Core Bike,sports,Bikes,AquaPro,12,62.91,136.1,0.27,True,
99,CoreMotion Peak Camping,sports,Camping,CoreMotion,19,190.52,389.26,5.76,True,
100,CoreMotion Speed Bike,sports,Bikes,CoreMotion,19,195.47,534.59,7.96,True,
101,RapidStride Impact Dumbbell,sports,Dumbbells,RapidStride,13,57.54,77.89,1.7,True,
102,SummitGear Power Soccer,sports,Soccer,SummitGear,15,143.54,282.24,24.04,True,
103,TrailBlaze Endurance Basketball,sports,Basketball,TrailBlaze,7,36.26,105.39,7.36,True,
104,SummitGear Performance Bike,sports,Bikes,SummitGear,17,110.89,205.22,23.91,True,
105,CoreMotion Flex Dumbbell,sports,Dumbbells,CoreMotion,8,127.51,381.2,14.01,True,
106,TrailBlaze Performance Dumbbell,sports,Dumbbells,TrailBlaze,6,178.16,432.81,13.09,True,
107,FlexFit Grip Soccer,sports,Soccer,FlexFit,6,196.41,505.26,7.34,True,
108,VelocityX Flex Running Gear,sports,Running Gear,VelocityX,5,6.28,14.51,21.14,True,
109,VelocityX Trail Hiking,sports,Hiking,VelocityX,20,166.77,220.94,17.08,True,
110,FlexFit Grip Basketball,sports,Basketball,FlexFit,11,68.62,101.74,18.31,True,
111,SummitGear Performance Yoga Mat,sports,Yoga Mats,SummitGear,10,191.61,535.17,0.91,True,
112,RapidStride Flex Hiking,sports,Hiking,RapidStride,7,30.12,83.7,5.28,True,
113,SummitGear Impact Basketball,sports,Basketball,SummitGear,17,31.25,51.04,1.05,True,
114,SummitGear Power Bike,sports,Bikes,SummitGear,7,135.58,329.33,21.94,True,
115,AquaPro Power Soccer,sports,Soccer,AquaPro,18,116.99,346.89,19.21,True,
116,CoreMotion Endurance Running Gear,sports,Running Gear,CoreMotion,14,174.88,433.18,5.61,True,
117,OpenChapter Classic Tech,books,Tech,OpenChapter,1,96.89,234.17,0.33,True,
118,MindPress Definitive Biography,books,Biography,MindPress,13,182.43,240.02,0.57,True,
119,BrightPage Advanced Biography,books,Biography,BrightPage,11,5.84,14.22,7.26,True,
120,PageTurn Essential Children,books,Children,PageTurn,19,69.19,164.71,12.3,True,
121,BookBound Classic Cooking,books,Cooking,BookBound,11,5.7,8.17,2.49,True,
122,BrightPage Beginner Fiction,books,Fiction,BrightPage,7,124.98,370.04,10.45,True,
123,MindPress Illustrated Non-Fiction,books,Non-Fiction,MindPress,5,143.13,267.72,17.48,True,
124,PageTurn Comprehensive Children,books,Children,PageTurn,10,103.13,225.53,24.6,True,
125,MindPress Definitive History,books,History,MindPress,13,149.33,435.8,21.29,True,
126,MindPress Pocket Science,books,Science,MindPress,11,121.18,155.61,2.75,True,
127,MindPress Comprehensive Science,books,Science,MindPress,18,103.78,205.87,4.62,True,
128,ClearInk Illustrated Children,books,Children,ClearInk,19,83.36,133.2,24.58,True,
129,ReadMore Complete Fiction,books,Fiction,ReadMore,17,54.67,160.45,20.08,True,
130,BrightPage Advanced Fiction,books,Fiction,BrightPage,10,27.96,60.91,1.78,True,
131,BookBound Modern Science,books,Science,BookBound,10,198.37,316.66,23.94,True,
132,BrightPage Illustrated Self-Help,books,Self-Help,BrightPage,11,13.81,34.88,8.88,True,
133,DeepRead Modern Travel,books,Travel,DeepRead,15,123.42,337.51,2.76,True,
134,ClearInk Pocket Tech,books,Tech,ClearInk,5,8.57,15.0,8.35,True,
135,StoryLine Comprehensive Travel,books,Travel,StoryLine,18,154.58,375.49,2.29,True,
136,MindPress Classic Tech,books,Tech,MindPress,12,116.24,330.22,1.07,True,
137,BookBound Essential Science,books,Science,BookBound,13,156.43,244.43,17.76,True,
138,PageTurn Classic Fiction,books,Fiction,PageTurn,17,43.17,87.43,17.05,True,
139,ClearInk Modern Tech,books,Tech,ClearInk,9,125.4,201.78,17.2,False,
140,InkWell Essential Cooking,books,Cooking,InkWell,16,150.8,379.25,14.35,True,
141,BrightPage Illustrated Tech,books,Tech,BrightPage,2,95.98,224.6,23.23,True,
142,ReadMore Classic History,books,History,ReadMore,5,136.97,348.82,22.06,True,
143,MindPress Classic Children,books,Children,MindPress,9,172.85,366.75,12.86,True,
144,BrightPage Advanced History,books,History,BrightPage,1,82.21,134.57,17.82,True,
145,DeepRead Pocket Fiction,books,Fiction,DeepRead,10,101.81,174.32,14.6,True,
146,SunRipe Farm Fresh Canned,food,Canned,SunRipe,9,138.38,326.11,6.39,True,
147,GreenHarvest Farm Fresh Beverage,food,Beverages,GreenHarvest,13,83.58,236.54,4.34,True,
148,GoldenGrain Fresh Spice,food,Spices,GoldenGrain,13,63.06,126.97,8.93,True,
149,GoldenGrain Fresh Snack,food,Snacks,GoldenGrain,17,71.47,169.67,12.93,False,
150,EarthBite Artisan Spice,food,Spices,EarthBite,12,95.1,217.85,19.59,False,
151,SunRipe Farm Fresh Dairy,food,Dairy,SunRipe,18,103.94,166.44,16.83,True,
152,OceanCatch Farm Fresh Beverage,food,Beverages,OceanCatch,2,107.62,322.08,5.53,True,
153,FreshField Artisan Cereal,food,Cereal,FreshField,15,199.24,472.97,2.54,True,
154,OceanCatch Organic Cereal,food,Cereal,OceanCatch,1,176.63,430.08,21.51,True,
155,MapleCrest Heritage Snack,food,Snacks,MapleCrest,17,109.25,207.38,4.0,True,
156,GoldenGrain Artisan Spice,food,Spices,GoldenGrain,5,51.08,78.68,14.58,True,
157,SunRipe Artisan Dairy,food,Dairy,SunRipe,13,146.97,235.68,19.15,False,
158,FreshField Premium Spice,food,Spices,FreshField,4,94.43,166.61,16.81,True,
159,EarthBite Farm Fresh Canned,food,Canned,EarthBite,5,35.4,80.34,1.44,True,
160,GoldenGrain Farm Fresh Frozen,food,Frozen,GoldenGrain,2,100.02,172.6,19.83,True,
161,FreshField Gourmet Supplement,food,Supplements,FreshField,5,66.22,120.55,11.34,False,
162,GreenHarvest Wholesome Snack,food,Snacks,GreenHarvest,9,27.14,44.85,4.94,False,
163,EarthBite Natural Spice,food,Spices,EarthBite,18,160.87,424.46,2.87,True,
164,FreshField Wild Supplement,food,Supplements,FreshField,1,23.18,54.31,11.99,True,
165,SunRipe Artisan Baking,food,Baking,SunRipe,5,90.33,174.28,22.66,True,
166,FreshField Artisan Dairy,food,Dairy,FreshField,8,76.11,131.89,10.54,True,
167,GoldenGrain Gourmet Snack,food,Snacks,GoldenGrain,5,77.09,205.08,8.57,True,
168,FreshField Gourmet Baking,food,Baking,FreshField,10,88.6,186.02,12.23,True,
169,FreshField Premium Frozen,food,Frozen,FreshField,2,100.19,274.93,4.87,True,
170,OceanCatch Artisan Canned,food,Canned,OceanCatch,19,10.7,16.27,18.57,True,
171,NutriBlend Wholesome Baking,food,Baking,NutriBlend,5,178.51,395.05,4.68,True,
172,EarthBite Farm Fresh Snack,food,Snacks,EarthBite,20,78.03,140.99,0.68,True,
173,OceanCatch Farm Fresh Snack,food,Snacks,OceanCatch,6,9.63,24.06,23.91,True,
174,GreenHarvest Fresh Snack,food,Snacks,GreenHarvest,14,118.88,187.33,7.8,True,
175,RadiantRose Hydra Set,beauty,Sets,RadiantRose,7,182.91,345.39,18.23,True,
176,VelvetSkin Revive Fragrance,beauty,Fragrance,VelvetSkin,19,148.26,406.13,1.91,True,
177,AquaBliss Hydra Sun Care,beauty,Sun Care,AquaBliss,6,26.93,73.52,5.69,True,
178,LuxeGlow Radiant Makeup,beauty,Makeup,LuxeGlow,8,173.85,489.54,3.24,True,
179,RadiantRose Pure Men Grooming,beauty,Men Grooming,RadiantRose,11,40.46,105.31,7.96,True,
180,FreshFace Luxe Men Grooming,beauty,Men Grooming,FreshFace,2,178.38,467.48,22.28,False,
181,VelvetSkin Hydra Sun Care,beauty,Sun Care,VelvetSkin,1,35.96,85.89,20.78,True,
182,PureAura Crystal Haircare,beauty,Haircare,PureAura,14,195.33,428.97,22.55,True,
183,FreshFace Revive Body Care,beauty,Body Care,FreshFace,19,68.19,172.74,6.84,True,
184,GlowLab Crystal Sun Care,beauty,Sun Care,GlowLab,9,177.79,517.63,11.06,True,
185,PureAura Velvet Body Care,beauty,Body Care,PureAura,16,94.9,191.27,11.7,True,
186,FreshFace Pure Tool,beauty,Tools,FreshFace,14,7.75,9.35,17.45,True,
187,RadiantRose Bloom Body Care,beauty,Body Care,RadiantRose,20,94.34,260.52,24.85,True,
188,FreshFace Revive Tool,beauty,Tools,FreshFace,17,93.48,267.19,13.69,True,
189,AquaBliss Hydra Skincare,beauty,Skincare,AquaBliss,3,104.97,312.81,22.35,True,
190,BloomBeauty Silk Sun Care,beauty,Sun Care,BloomBeauty,17,90.32,108.6,4.98,True,
191,GlowLab Velvet Sun Care,beauty,Sun Care,GlowLab,7,80.5,200.53,13.61,True,
192,LuxeGlow Crystal Haircare,beauty,Haircare,LuxeGlow,3,64.59,132.38,21.76,True,
193,RadiantRose Revive Makeup,beauty,Makeup,RadiantRose,9,107.12,301.61,22.01,True,
194,FreshFace Velvet Makeup,beauty,Makeup,FreshFace,13,51.45,96.29,17.17,True,
195,SilkEssence Revive Skincare,beauty,Skincare,SilkEssence,1,122.77,363.25,13.95,True,
196,RadiantRose Radiant Tool,beauty,Tools,RadiantRose,13,186.54,263.64,0.13,True,
197,SilkEssence Velvet Men Grooming,beauty,Men Grooming,SilkEssence,2,38.26,78.94,16.26,True,
198,BloomBeauty Radiant Men Grooming,beauty,Men Grooming,BloomBeauty,15,60.57,97.21,24.38,True,
199,LuxeGlow Bloom Set,beauty,Sets,LuxeGlow,2,141.38,334.59,7.41,True,
200,SilkEssence Silk Body Care,beauty,Body Care,SilkEssence,16,11.82,31.81,23.14,True,
