feedback_id,customer_id,order_id,feedback_date,rating,feedback_text,channel,_rescued_data
90,237,10247,2025-12-20,4,Ive tried many similar products but this FreshField Artisan Dairy from FreshField is the best.,email,
91,1608,13127,2025-10-12,5,Perfect DeepRead Pocket Fiction! Exactly as described and then some.,social_media,
92,874,2468,2026-03-22,4,Solid build quality on this GreenHarvest Fresh Snack. Very durable.,social_media,
93,1984,13085,2026-01-24,4,Super happy with this HarborHouse Premium Storage. HarborHouse never disappoints.,email,
94,2160,8178,2026-02-26,4,Bought this as a gift and they absolutely loved the GreenLeaf Cozy Activewear.,email,
95,572,7018,2026-02-08,4,The ClearInk Modern Tech is exactly what I needed. Five stars!,email,
96,2073,12800,2026-03-02,5,Fast shipping and the SilkEssence Velvet Men Grooming works perfectly. Would buy again.,social_media,
97,954,5664,2026-02-15,4,Bought this as a gift and they absolutely loved the WillowHome Deluxe Decor.,social_media,
98,2195,7018,2025-06-17,5,Bought this as a gift and they absolutely loved the GoldenGrain Farm Fresh Frozen.,social_media,
99,417,5133,2025-09-03,5,Ive tried many similar products but this FreshFace Revive Body Care from FreshFace is the best.,chat,
100,2377,670,2025-09-27,2,The ClearView Ultra Cable looks nothing like the pictures. Very misleading.,survey,
101,2372,2197,2026-01-16,3,Average quality ClearInk Pocket Tech. Expected a bit more from ClearInk.,chat,
102,854,9747,2025-12-06,5,Outstanding LuxeGlow Radiant Makeup. LuxeGlow has a customer for life.,survey,
103,722,14224,2025-11-21,3,Average quality AquaPro Flex Dumbbell. Expected a bit more from AquaPro.,chat,
104,352,1975,2025-08-01,1,The ElmHouse Compact Cleaning broke after two weeks. Not buying from ElmHouse again.,social_media,
105,1731,9030,2026-01-23,5,The VelvetSkin Revive Fragrance has made such a difference. Highly recommend VelvetSkin.,social_media,
106,2079,3086,2025-10-05,3,The GreenLeaf Modern Sweater arrived on time. Quality is about what I expected.,survey,
107,2325,7752,2025-12-04,3,Average quality TrailBlaze Endurance Basketball. Expected a bit more from TrailBlaze.,email,
108,2246,10479,2025-12-01,5,Best purchase Ive made this year. The FreshField Premium Spice is fantastic.,survey,
109,271,970,2026-01-11,4,Impressive SignalMax Advanced Charger. Shipping was fast and packaging was great.,email,
110,978,12054,2026-03-11,5,Super happy with this CedarGrove Essential Storage. CedarGrove never disappoints.,social_media,
111,1061,10625,2025-11-07,3,Fair quality for the price point. The ReadMore Classic History is functional.,survey,
112,2090,12044,2025-12-28,3,The BrightPage Beginner Fiction met my basic needs. Nothing more.,social_media,
113,1505,8064,2025-09-15,4,Very pleased with my purchase. The BrightPage Advanced Biography is top notch.,email,
114,1628,1939,2026-03-09,4,Excellent craftsmanship on this BrightPage Advanced Biography. Worth every penny.,social_media,
115,1761,12320,2025-07-09,2,Very poor quality FreshFace Velvet Makeup. Expected much better from FreshFace.,email,
116,1096,5322,2026-03-08,5,Really impressed with the SunRipe quality. Highly recommend!,social_media,
117,1944,10797,2026-03-08,5,Love the design and functionality of this GoldenGrain Gourmet Snack.,chat,
118,1794,5362,2025-12-29,3,"The SunRipe Artisan Dairy is fine. Not great, not terrible.",email,
119,1771,7043,2026-02-27,3,The BookBound Modern Science met my basic needs. Nothing more.,chat,
120,855,7830,2025-10-04,2,Disappointed with this ElmHouse Premium Bedding. Quality is poor for the price.,chat,
121,2172,2020,2025-07-29,3,Okay purchase. The AquaBliss Hydra Sun Care could use some improvements.,social_media,
122,1656,13798,2025-09-18,4,Solid build quality on this SilkEssence Revive Skincare. Very durable.,chat,
123,67,8843,2025-10-24,5,Best purchase Ive made this year. The TrailBlaze Speed Soccer is fantastic.,survey,
124,2290,6151,2025-08-11,4,Great value for the price. The GlowLab Velvet Sun Care exceeded my expectations.,survey,
125,572,13547,2025-08-23,3,The CanvasWear Modern Shoe met my basic needs. Nothing more.,chat,
126,694,11998,2026-03-15,2,Not happy with this purchase at all. The HarborHouse Artisan Lighting is junk.,social_media,
127,256,5938,2025-11-02,4,Outstanding SignalMax Ultra Speaker. SignalMax has a customer for life.,survey,
128,520,2842,2025-08-31,5,The ClearInk Illustrated Children has made such a difference. Highly recommend ClearInk.,email,
129,1797,10268,2025-10-22,4,Ive tried many similar products but this AquaPro Flex Dumbbell from AquaPro is the best.,chat,
130,1231,29,2025-10-18,3,The NovaByte Lite Camera is satisfactory. NovaByte could do better.,email,
131,175,2309,2025-08-14,5,Best purchase Ive made this year. The OpenChapter Classic Tech is fantastic.,email,
132,428,9092,2025-08-02,4,Very pleased with my purchase. The RapidStride Impact Dumbbell is top notch.,email,
133,1607,5299,2025-11-01,2,The FreshField Premium Frozen arrived damaged. Customer service was unhelpful.,survey,
134,916,1040,2026-01-06,5,Super happy with this FlexFit Grip Soccer. FlexFit never disappoints.,survey,
135,2017,5846,2025-06-24,3,"The FreshField Premium Spice is fine. Not great, not terrible.",survey,
136,105,2862,2025-09-12,4,Best purchase Ive made this year. The OpenChapter Classic Tech is fantastic.,social_media,
137,1569,4419,2026-03-26,3,Decent OceanCatch Farm Fresh Beverage from OceanCatch. Would consider alternatives next time.,social_media,
138,1593,7573,2026-02-14,5,Fast shipping and the EarthBite Artisan Spice works perfectly. Would buy again.,social_media,
139,2349,1543,2025-11-01,5,Absolutely love this InkWell Essential Cooking! Quality is outstanding.,email,
140,1174,5172,2025-06-17,5,Fast shipping and the SignalMax Ultra Speaker works perfectly. Would buy again.,survey,
141,208,1555,2025-11-06,2,The HarborHouse Artisan Lighting looks nothing like the pictures. Very misleading.,chat,
142,457,57,2025-06-08,5,Ive tried many similar products but this IronPeak Impact Basketball from IronPeak is the best.,chat,
143,1127,4766,2026-02-07,4,Absolutely love this FitForm Athletic Jacket! Quality is outstanding.,survey,
144,1324,1763,2026-02-22,4,Absolutely love this CanvasWear Modern Shoe! Quality is outstanding.,chat,
145,2236,8583,2025-12-16,4,Love the design and functionality of this SummitGear Performance Yoga Mat.,chat,
146,345,14800,2025-11-18,5,Impressive GreenHarvest Wholesome Snack. Shipping was fast and packaging was great.,social_media,
147,732,3678,2025-09-21,2,The PureComfort Heritage Rug looks nothing like the pictures. Very misleading.,chat,
148,561,2565,2026-02-06,4,Great value for the price. The CanvasWear Cozy T-Shirt exceeded my expectations.,email,
149,2048,1554,2026-03-10,4,The TrailBlaze Flex Soccer is exactly what I needed. Five stars!,social_media,
150,659,8461,2026-03-19,4,The EarthBite Farm Fresh Snack has made such a difference. Highly recommend EarthBite.,chat,
151,989,1758,2026-02-28,4,Super happy with this StyleCraft Athletic Shoe. StyleCraft never disappoints.,survey,
152,1629,5792,2025-12-29,4,Fast shipping and the GoldenGrain Fresh Snack works perfectly. Would buy again.,email,
153,2214,2006,2026-02-18,3,"Mixed feelings about this LuxeGlow Bloom Set. Some features are good, others not so much.",chat,
154,171,11864,2026-01-03,2,Save your money. This AlpineEdge Flex Yoga Mat from AlpineEdge is not worth it.,chat,
155,1355,1156,2025-07-18,2,Do not buy this FreshFace Pure Tool. Horrible quality from FreshFace.,survey,
156,1092,6497,2025-12-23,5,Super happy with this InkWell Essential Cooking. InkWell never disappoints.,social_media,
157,320,14365,2025-12-10,5,Ive tried many similar products but this HarborHouse Premium Storage from HarborHouse is the best.,email,
158,559,9397,2025-10-22,5,Amazing EarthBite Farm Fresh Snack from EarthBite. My whole family loves it.,social_media,
159,910,10068,2025-11-09,1,The NovaByte Lite Camera is overpriced for what you get. Total letdown.,chat,
160,1715,625,2025-09-14,4,The CanvasWear Modern Shoe arrived quickly and works great. Very satisfied.,chat,
161,2274,9273,2025-10-25,1,Terrible experience. The AquaPro Power Soccer doesnt work as advertised.,email,
162,444,2864,2025-06-29,2,The AquaPro Power Soccer broke after two weeks. Not buying from AquaPro again.,chat,
163,744,10665,2025-12-16,2,The FitForm Athletic Jacket looks nothing like the pictures. Very misleading.,email,
164,2019,9091,2025-11-02,2,The CedarGrove Smart Appliance broke after two weeks. Not buying from CedarGrove again.,survey,
165,203,970,2025-08-10,1,Very poor quality CedarGrove Essential Storage. Expected much better from CedarGrove.,survey,
166,766,13423,2025-10-11,2,The MindPress Classic Tech is overpriced for what you get. Total letdown.,chat,
167,1844,1027,2025-11-25,5,Wonderful quality. Will definitely order more from PageTurn.,social_media,
168,1267,9986,2025-10-15,4,Best purchase Ive made this year. The BookBound Modern Science is fantastic.,social_media,
169,2400,4677,2025-12-26,5,Ive tried many similar products but this MindPress Definitive History from MindPress is the best.,survey,
170,1283,6209,2025-10-24,4,Best purchase Ive made this year. The SummitGear Performance Yoga Mat is fantastic.,social_media,
171,306,4158,2025-12-11,5,Outstanding StoneBridge Heritage Storage. StoneBridge has a customer for life.,chat,
172,2287,10104,2025-09-23,4,Outstanding BookBound Classic Cooking. BookBound has a customer for life.,chat,
173,1206,11757,2025-12-04,4,The MapleCrest Heritage Snack arrived quickly and works great. Very satisfied.,email,
174,338,1122,2025-08-01,5,Impressive VoltStream Ultra Charger. Shipping was fast and packaging was great.,chat,
175,926,9715,2026-03-19,5,Great value for the price. The FreshField Gourmet Baking exceeded my expectations.,chat,
176,843,10389,2025-09-30,1,Do not buy this OceanCatch Organic Cereal. Horrible quality from OceanCatch.,email,
177,1470,1628,2025-09-02,4,Best purchase Ive made this year. The FreshFace Pure Tool is fantastic.,chat,
178,2358,10499,2025-09-13,4,Fast shipping and the OceanCatch Organic Cereal works perfectly. Would buy again.,social_media,
179,1155,6487,2025-11-05,3,Its okay. The SilkEssence Revive Skincare does what its supposed to do.,email,
180,2159,13323,2026-01-06,5,Amazing ReadMore Complete Fiction from ReadMore. My whole family loves it.,email,
181,551,7365,2026-01-03,5,Outstanding HomeNest Deluxe Cleaning. HomeNest has a customer for life.,email,
182,1624,11109,2026-02-12,5,Love the design and functionality of this HomeNest Rustic Cookware.,email,
183,607,8130,2025-07-31,4,Excellent craftsmanship on this RadiantRose Pure Men Grooming. Worth every penny.,survey,
184,902,13133,2026-01-01,4,Impressive RapidStride Core Swim Gear. Shipping was fast and packaging was great.,email,
185,2449,14516,2025-11-30,3,"Mixed feelings about this EarthBite Artisan Spice. Some features are good, others not so much.",chat,
186,672,9812,2025-07-28,5,Solid build quality on this GreenLeaf Athletic Dresse. Very durable.,chat,
187,186,1819,2026-01-20,5,Bought this as a gift and they absolutely loved the GreenLeaf Athletic Dresse.,survey,
188,1077,3616,2025-10-27,2,The AquaBliss Hydra Sun Care is overpriced for what you get. Total letdown.,email,
189,1852,7214,2025-11-21,4,The CanvasWear Classic Jean is exactly what I needed. Five stars!,chat,
190,436,358,2025-08-26,4,Solid build quality on this BrightPage Illustrated Self-Help. Very durable.,survey,
191,736,8923,2025-09-12,5,The NovaByte Lite Camera is exactly what I needed. Five stars!,chat,
192,1361,7248,2026-02-16,2,Save your money. This GlowLab Crystal Sun Care from GlowLab is not worth it.,social_media,
193,1732,540,2025-10-28,3,Not bad but not amazing either. The HarborHouse Artisan Lighting is middle of the road.,chat,
194,2426,5947,2025-08-10,5,Best purchase Ive made this year. The GlowLab Velvet Sun Care is fantastic.,survey,
195,1388,14962,2025-06-01,5,Solid build quality on this ApexDigital Premium Smartphone. Very durable.,chat,
196,2300,4517,2026-03-28,5,The LuxeGlow Radiant Makeup arrived quickly and works great. Very satisfied.,survey,
197,2372,10690,2026-01-31,5,Great value for the price. The FreshField Gourmet Baking exceeded my expectations.,email,
198,20,471,2025-08-17,3,Its okay. The StoneBridge Artisan Towel does what its supposed to do.,email,
199,1102,5223,2025-12-30,4,Impressive GoldenGrain Fresh Spice. Shipping was fast and packaging was great.,survey,
200,796,10485,2025-10-08,4,The StyleCraft Athletic Shoe has made such a difference. Highly recommend StyleCraft.,chat,
201,1628,2560,2026-01-10,5,Solid build quality on this FreshField Artisan Dairy. Very durable.,chat,
202,473,14680,2026-02-18,1,The WillowHome Deluxe Bedding arrived damaged. Customer service was unhelpful.,email,
203,1110,11184,2025-07-29,4,Great value for the price. The GreenLeaf Cozy Activewear exceeded my expectations.,email,
204,1959,1844,2026-03-21,5,Love the design and functionality of this ApexDigital Mini Speaker.,email,
205,959,14119,2026-01-10,3,Fair quality for the price point. The VelvetSkin Revive Fragrance is functional.,survey,
206,403,5829,2025-06-11,5,Ive tried many similar products but this RapidStride Flex Hiking from RapidStride is the best.,email,
207,1680,4570,2025-12-21,5,Outstanding RadiantRose Bloom Body Care. RadiantRose has a customer for life.,survey,
208,2040,1630,2026-02-17,5,Amazing SummitGear Power Bike from SummitGear. My whole family loves it.,chat,
209,2232,13983,2026-02-10,4,Solid build quality on this EarthBite Farm Fresh Snack. Very durable.,social_media,
210,396,13053,2025-07-24,3,Average quality AquaPro Flex Camping. Expected a bit more from AquaPro.,chat,
211,2228,12134,2026-01-21,5,The NorthTrail Slim Fit Shoe is exactly what I needed. Five stars!,email,
212,637,14556,2025-12-12,5,Excellent craftsmanship on this CoreMotion Flex Dumbbell. Worth every penny.,email,
213,63,14029,2025-08-06,2,Do not buy this PixelEdge Slim Smartwatche. Horrible quality from PixelEdge.,social_media,
214,2117,7121,2025-06-11,4,Perfect SunRipe Artisan Baking! Exactly as described and then some.,survey,
215,738,7878,2025-07-19,5,Love the design and functionality of this SilkRoad Classic Dresse.,chat,
216,1528,2766,2026-03-25,5,Love the design and functionality of this AquaPro Power Soccer.,chat,
217,467,10207,2025-09-07,4,The FreshFace Revive Tool is exactly what I needed. Five stars!,social_media,
218,1179,4439,2025-11-14,1,Do not buy this NovaByte Advanced Camera. Horrible quality from NovaByte.,chat,
219,382,5123,2025-08-04,4,Perfect GreenHarvest Farm Fresh Beverage! Exactly as described and then some.,survey,
220,547,7753,2025-12-08,2,Not happy with this purchase at all. The PixelEdge Max Tablet is junk.,chat,
221,2026,1968,2026-02-25,2,The FreshFace Velvet Makeup arrived damaged. Customer service was unhelpful.,email,
222,491,7590,2025-12-13,2,The NovaByte Plus Cable stopped working after a month. Very frustrated.,chat,
223,829,638,2026-01-20,5,Super happy with this TrailBlaze Speed Soccer. TrailBlaze never disappoints.,email,
224,196,12892,2025-10-14,5,Amazing OceanCatch Farm Fresh Beverage from OceanCatch. My whole family loves it.,social_media,
225,1378,13083,2025-07-10,5,Solid build quality on this SummitGear Impact Basketball. Very durable.,social_media,
226,1065,3573,2025-10-02,5,The ElmHouse Premium Bedding arrived quickly and works great. Very satisfied.,survey,
227,187,581,2026-01-02,3,Took a while to arrive but the ElmHouse Smart Decor is acceptable.,chat,
228,78,7685,2025-10-25,4,Outstanding UrbanThread Classic Jean. UrbanThread has a customer for life.,social_media,
229,1892,9233,2025-06-04,5,Great value for the price. The UrbanThread Classic Jean exceeded my expectations.,social_media,
230,2219,5125,2025-10-11,5,Ive tried many similar products but this NutriBlend Wholesome Baking from NutriBlend is the best.,email,
231,1183,10836,2025-06-12,5,Absolutely love this CoreMotion Endurance Running Gear! Quality is outstanding.,survey,
232,1987,457,2025-06-29,5,Outstanding NorthTrail Slim Fit Shoe. NorthTrail has a customer for life.,email,
233,1893,10957,2025-12-28,4,Outstanding RadiantRose Pure Men Grooming. RadiantRose has a customer for life.,chat,
234,1212,6110,2025-06-22,4,The FreshFace Revive Tool is exactly what I needed. Five stars!,survey,
235,2263,14803,2025-12-08,4,Absolutely love this VoltStream Ultra Cable! Quality is outstanding.,social_media,
236,801,12607,2025-12-31,5,Love the design and functionality of this PureComfort Modern Rug.,survey,
237,1202,9585,2026-02-08,4,Very pleased with my purchase. The RadiantRose Hydra Set is top notch.,chat,
238,1494,13974,2026-02-13,5,Great value for the price. The SilkRoad Classic Dresse exceeded my expectations.,social_media,
239,2033,4184,2025-07-19,4,Solid build quality on this MindPress Classic Children. Very durable.,chat,
240,1225,13251,2026-01-22,4,Very pleased with my purchase. The AquaPro Power Soccer is top notch.,email,
241,542,14874,2025-06-02,3,Average quality FreshField Premium Frozen. Expected a bit more from FreshField.,chat,
242,1794,2585,2026-03-17,5,Impressive VelvetSkin Revive Fragrance. Shipping was fast and packaging was great.,email,
243,1918,7416,2026-02-16,2,Disappointed with this TrailBlaze Performance Dumbbell. Quality is poor for the price.,survey,
244,16,2214,2025-07-01,5,Really impressed with the CanvasWear quality. Highly recommend!,survey,
245,2398,10053,2025-08-05,5,The BlueHarbor Relaxed Hat arrived quickly and works great. Very satisfied.,chat,
246,1911,11123,2025-07-20,5,Perfect ClearInk Illustrated Children! Exactly as described and then some.,chat,
247,2337,5202,2025-11-04,3,The OceanCatch Organic Cereal arrived on time. Quality is about what I expected.,email,
248,2082,365,2026-03-01,4,The PageTurn Essential Children is exactly what I needed. Five stars!,survey,
249,722,3999,2025-09-11,3,The BrightSpace Premium Furniture arrived on time. Quality is about what I expected.,social_media,
250,15,13376,2026-03-19,3,The AlpineEdge Flex Yoga Mat is satisfactory. AlpineEdge could do better.,survey,
251,1308,12039,2025-12-05,5,Super happy with this GreenHarvest Fresh Snack. GreenHarvest never disappoints.,email,
252,217,10349,2025-07-24,2,Terrible experience. The PageTurn Essential Children doesnt work as advertised.,email,
253,748,5385,2025-09-18,4,Really impressed with the GreenHarvest quality. Highly recommend!,chat,
254,107,12021,2025-06-14,4,Great value for the price. The MindPress Illustrated Non-Fiction exceeded my expectations.,chat,
255,318,919,2025-12-02,5,Amazing CoreMotion Flex Dumbbell from CoreMotion. My whole family loves it.,survey,
256,1708,13010,2025-12-25,5,Best purchase Ive made this year. The BrightPage Beginner Fiction is fantastic.,chat,
257,1551,2791,2026-01-25,5,Love the design and functionality of this BrightPage Illustrated Self-Help.,survey,
258,515,14445,2025-09-17,4,Wonderful quality. Will definitely order more from SummitGear.,social_media,
259,38,13638,2025-07-02,4,Amazing HarborHouse Artisan Storage from HarborHouse. My whole family loves it.,chat,
260,1869,3324,2026-02-15,4,The OceanCatch Farm Fresh Snack has made such a difference. Highly recommend OceanCatch.,social_media,
261,2214,9904,2026-02-24,5,Excellent craftsmanship on this BlueHarbor Relaxed Hat. Worth every penny.,email,
262,2327,12394,2025-08-23,4,Super happy with this ApexDigital Mini Speaker. ApexDigital never disappoints.,email,
263,2031,8134,2026-01-03,5,Amazing PageTurn Classic Fiction from PageTurn. My whole family loves it.,survey,
264,292,14496,2025-11-09,4,Best purchase Ive made this year. The LuxeGlow Bloom Set is fantastic.,social_media,
265,1819,12667,2025-08-06,4,Wonderful quality. Will definitely order more from MindPress.,social_media,
266,1053,9486,2025-12-31,4,Absolutely love this CanvasWear Classic Jean! Quality is outstanding.,chat,
267,334,14920,2025-11-09,3,The PureStitch Classic Jean is satisfactory. PureStitch could do better.,social_media,
268,2271,969,2025-07-06,1,Disappointed with this RadiantRose Revive Makeup. Quality is poor for the price.,email,
